country,area,location,latitude,longitude,match_type
USA,New Jersey,"Bay Head, Ocean County",40.0702733,-74.0437026,location
USA,Hawaii,"Kanaha Beach, Maui",20.8970291,-156.4605383,location
USA,Florida,"New Smyrna Beach,  Volusia County",29.029722,-80.9237495,location
USA,Hawaii,"Ulua Beach, Maui",20.6903,-156.4436,location
USA,California,"Pacific State , San Mateo County",37.475911136365,-122.438422729666,location
FRENCH POLYNESIA,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",-16.5059584,-151.7515183,location
AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",-31.7789,115.7326,location
BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",-8.0248,-34.8574,location
USA,New Jersey,"Egg Harbor, Atlantic County",39.52873,-74.64794,location
SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,-30.26041,30.82509,location
USA,Florida,"Ponte Vedra Beach, St Johns County",30.242809,-81.382818,location
USA,Florida,"Ormond Beach, Volusia County",29.2774764,-81.0417589,location
SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",-31.6493491,29.5159128,location
DOMINICAN REPUBLIC,Unknown,Boca Chica,18.4561746,-69.6100526,location
AUSTRALIA,Western Australia,Cheynes Beach,-35.0944824,117.9544536,location
USA,New York,Off Long Island,40.74482,-73.94875,location
MADAGASCAR,Antsiranana Province,"Ambatolaoka, Nosy Be Island",-13.38321,48.20009,location
SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,-32.57198,28.55206,location
MOZAMBIQUE,Maputo Province,Ponta do Ouro,-26.827,32.838,location
NEW ZEALAND,South Island,Clark Island,-43.0,171.0,location
AUSTRALIA,Victoria,Portland,-38.347127084,141.604485475,location
USA,Hawaii,"Kalama Park, Maui",20.7314907,-156.4529763,location
USA,Florida,"Intracoastal Waterway,      St. Petersburg",28.3570163,-80.6849683,location
MALAYSIA,Strait of Malacca,Pulau Payar Island,2.196,102.2405,location
USA,Hawaii,Alenuihaha Channel,20.63333,-156.04167,location
BRAZIL,Maranhão,Olho d'Água,-2.4872211,-44.2211267,location
AUSTRALIA,Northern Territory,Darwin,-12.459226445,130.840557883,location
USA,Florida,Bethune Beach,28.9485103,-80.838487,location
AUSTRALIA,New South Wales,Crescent Head,-31.181693155,152.935326493,location
AUSTRALIA,New South Wales,Kingscliff Beach,-28.251938,153.574483,location
USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",27.3074167,-80.2211478,location
REUNION,Saint-Gilles-les-Bains,"Les Aigrettes, near Boucan-Canot",-21.0476847,55.2247662,location
SOUTH AFRICA,Western Cape Province,Fish Hoek,-34.13419,18.42484,location
USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",32.14159,-80.751068,location
SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,-34.0343,25.13221,location
USA,California,"Santa Cruz, Santa Cruz County",36.9741392,-122.028804,location
SOUTH AFRICA,Western Cape Province,"Sunny Cove, Fish Hoek",-34.13419,18.42484,location
USA,California,"Scripps, LaJolla, San Diego County",32.842815692211,-117.279348189627,location
USA,Texas,"Port Bolivar, Galveston County",29.374185,-94.770385,location
AUSTRALIA,Northern Territory,Bremer Island,-12.11024,136.81266,location
USA,Hawaii,"Rocky Point, north shore of O'ahu",21.59116,-158.1094,location
SRI LANKA,Eastern Province,Pasikudha,7.92351,81.56628,location
AUSTRALIA,New South Wales,Byron Bay,-28.649318443,153.616858651,location
USA,Texas,Channel between South Padre Island & Padre Island National Seashore,27.6773,-97.3077,location
USA,Florida,"Stuart Rocks, Martin County",27.211719279555,-80.261725176396,location
NEW ZEALAND,North Island,"Whiritoa, Eastern Cormandel",-41.1365449,174.83883,location
USA,South Carolina,"Pawleys Island, Georgetown County",33.423849,-79.126116,location
USA,Florida,"North Beach, Patrick AFB, Brevard County",28.266511692873,-80.606359258138,location
AUSTRALIA,Queensland,Golden Beach,-26.820421323,153.11935521,location
USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",26.303527905034,-80.103557793056,location
USA,Florida,"Key Biscayne, Dade County",25.692497,-80.169556,location
NEW ZEALAND,North Island,Sandy Bay/Whananaki,-34.488217,172.7592783,location
USA,Florida,"Floridana Beach, Brevard County",27.94577,-80.496461,location
