year,month,day,hour,latitude,longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,attack
2016.0,6.0,25,20.42,34.2,-76.9,27.3,5.0,1.0,5.0,1.0,9.5,0
2016.0,12.0,27,1.0,27.7,-80.1,24.0,12.9,1.5,3.0,0.5,2.0,0
2016.0,8.0,25,19.9,29.98,-81.63,31.6,6.2,1.0,5.0,1.0,9.5,0
2015.0,5.0,29,13.0,29.029722,-80.9237495,25.8,5.1,1.0,1.0,1.0,9.5,1
2016.0,9.0,18,15.0,28.42,-80.59,29.3,1.0,1.0,5.0,1.0,9.5,0
2014.0,5.0,11,19.83,31.4,-80.9,24.5,4.0,0.5,4.0,0.5,6.0,0
2017.0,8.0,23,17.07,41.8,-70.3,20.6,5.0,0.0,5.0,1.0,9.5,0
2014.0,8.0,27,15.0,33.608745,-78.97702,27.3,3.1,1.0,5.0,1.0,9.5,1
2014.0,7.0,5,18.0,33.7,-118.2,18.9,3.6,1.0,5.0,1.0,9.5,0
2016.0,12.0,6,2.0,-36.887418812,149.922226048,22.1,7.7,1.0,3.0,1.0,9.5,1
2014.0,9.0,21,5.0,28.42,-80.59,28.7,4.6,1.0,5.0,1.0,9.5,0
2013.0,10.0,19,6.0,26.0,-79.5,30.0,9.8,1.0,5.0,0.0,0.0,0
2015.0,5.0,29,4.83,28.5,-80.2,26.8,5.0,0.5,4.0,1.0,8.0,0
2015.0,8.0,22,17.0,-33.280744,151.574377,20.5,11.3,1.5,7.0,1.5,7.0,1
2013.0,7.0,7,12.0,42.1399046,3.1180566,25.8,4.1,0.5,1.0,1.0,9.5,1
2011.0,8.0,17,17.0,33.998255,-77.906651,25.8,1.0,1.0,5.0,1.0,9.5,1
2011.0,10.0,10,7.0,46.21,-123.77,17.7,1.5,1.0,5.0,1.0,9.5,0
2011.0,9.0,11,15.9,40.3,-124.7,10.3,5.0,1.5,8.0,1.0,11.0,0
2011.0,12.0,6,2.48,46.2,-124.1,8.8,5.0,1.0,10.0,0.5,11.0,0
2017.0,6.0,2,12.0,25.08333,-77.26667,25.4,11.8,1.0,10.0,1.0,9.5,1
2011.0,7.0,25,14.0,39.36,-74.42,20.7,5.0,1.0,5.0,1.0,9.5,0
2011.0,7.0,5,10.0,9.90626,-75.58555,25.8,5.0,1.0,5.0,1.0,9.5,1
