attack_id,date,year,month,hour,country,area,location,activity,fatal,attack_latitude,attack_longitude,noaa_latitude,noaa_longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,distance_km
313,2013-09-01,2013.0,9.0,12.0,USA,Florida,"St Augustine Beach, St Johns County",Casting a net,0.0,29.852015,-81.267319,29.86,-81.27,,3.1,,,,,0.9247707349867427
546,2015-08-18,2015.0,8.0,11.0,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,,38.537275,-0.1404609,38.4,0.2,27.4,1.5,,,,,33.340051881133164
598,2015-12-21,2015.0,12.0,7.0,AUSTRALIA,New South Wales,Bondi Beach,Surfing,0.0,-33.889387797,151.272464529,-33.7,152.2,25.0,5.1,,,1.5,6.0,88.25968967358298
646,2016-05-29,2016.0,5.0,15.0,USA,Florida,"Neptune, Duval County",Swimming,0.0,30.3236,-81.4145,30.38,-81.45,,,,,,,7.1368048081878195
771,2017-05-03,2017.0,5.0,14.0,USA,California,"Sunset Beach, Orange County",Surfing,,33.716327,-118.069515,33.73,-118.19,,2.1,,,,,11.246209961473099
37,2011-05-22,2011.0,5.0,12.0,USA,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,0.0,19.647367,-155.99301,20.04,-155.83,27.0,5.1,,,,,46.86987431944518
303,2013-08-13,2013.0,8.0,13.0,USA,Hawaii,"Ka'a Point, Maui",Kiteboarding,0.0,20.85632,-156.82905,20.9,-156.47,26.4,4.1,,,,,37.61802866467465
480,2015-03-07,2015.0,3.0,,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,0.0,-17.58416,-142.6164,-17.13,-143.06,,,,,,,69.04202184939123
591,2015-11-15,2015.0,11.0,,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,0.0,26.79372,-80.03288,26.7,-80.0,28.0,10.3,1.0,5.0,3.0,8.0,10.920673876124347
777,2017-05-30,2017.0,5.0,,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,0.0,32.990128,-79.644251,32.8,-79.6,25.6,3.0,,,,,21.541228743193017
121,2011-12-23,2011.0,12.0,12.0,USA,Florida,New Smyrna Beach,Surfing,0.0,29.029722,-80.9237495,29.2,-80.3,26.0,10.8,1.5,3.0,1.0,5.0,63.48344797145969
436,2014-10-03,2014.0,10.0,11.0,USA,California,Santa Barbara County,Kayaking,0.0,34.538263714677,-120.030793894701,34.3,-119.9,20.1,3.0,,,,,29.083612637621155
491,2015-04-13,2015.0,4.0,,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,0.0,24.66709,-81.58314,24.56,-81.81,27.7,,,,,,25.840854408547262
701,2016-09-17,2016.0,9.0,,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,0.0,-38.287921,144.4853177,-38.3,144.6,13.5,7.2,,,,,10.098108490215063
752,2017-04-02,2017.0,4.0,15.0,USA,Florida,"Destin, Okaloosa County",Swimming,0.0,30.3936755,-86.4956633,30.21,-85.88,23.1,6.2,,,,,62.53495865669528
